# phi psi z
-3.141592654000000095e+00 -3.141592654000000095e+00 1.627487216999999831e+01
-3.070995066000000051e+00 -3.141592654000000095e+00 1.329845364300000021e+01
-3.000397478000000007e+00 -3.141592654000000095e+00 1.080431501400000016e+01
-2.929799889999999962e+00 -3.141592654000000095e+00 8.810965330000000151e+00
-2.859202303000000001e+00 -3.141592654000000095e+00 7.360341254999999805e+00
-2.788604714999999956e+00 -3.141592654000000095e+00 6.460707765999999630e+00
-2.718007126999999912e+00 -3.141592654000000095e+00 6.073706017000000124e+00
-2.647409539999999950e+00 -3.141592654000000095e+00 6.025161739999999710e+00
-2.576811951999999906e+00 -3.141592654000000095e+00 6.141549670999999933e+00
-2.506214363999999861e+00 -3.141592654000000095e+00 6.310728430000000166e+00
-2.435616775999999817e+00 -3.141592654000000095e+00 6.508010818999999891e+00
-2.365019188999999855e+00 -3.141592654000000095e+00 6.809550790000000298e+00
-2.294421600999999811e+00 -3.141592654000000095e+00 7.337296669999999743e+00
-2.223824013000000210e+00 -3.141592654000000095e+00 8.139077221999999168e+00
-2.153226425000000166e+00 -3.141592654000000095e+00 9.116248986000000443e+00
-2.082628838000000204e+00 -3.141592654000000095e+00 1.007832817699999950e+01
-2.012031250000000160e+00 -3.141592654000000095e+00 1.083650365599999965e+01
-1.941433661999999893e+00 -3.141592654000000095e+00 1.131137190299999951e+01
-1.870836074999999932e+00 -3.141592654000000095e+00 1.156687647699999921e+01
-1.800238487000000109e+00 -3.141592654000000095e+00 1.172173687999999991e+01
-1.729640899000000065e+00 -3.141592654000000095e+00 1.199990120100000013e+01
-1.659043311000000021e+00 -3.141592654000000095e+00 1.249096568799999929e+01
-1.588445724000000059e+00 -3.141592654000000095e+00 1.316475259999999992e+01
-1.517848136000000014e+00 -3.141592654000000095e+00 1.389507668399999929e+01
-1.447250547999999970e+00 -3.141592654000000095e+00 1.457116404099999940e+01
-1.376652961000000008e+00 -3.141592654000000095e+00 1.521228218699999957e+01
-1.306055372999999964e+00 -3.141592654000000095e+00 1.601364660699999831e+01
-1.235457784999999920e+00 -3.141592654000000095e+00 1.723517392200000131e+01
-1.164860197000000097e+00 -3.141592654000000095e+00 1.910156145899999913e+01
-1.094262609999999913e+00 -3.141592654000000095e+00 2.163224916000000064e+01
-1.023665022000000091e+00 -3.141592654000000095e+00 2.475597988399999849e+01
-9.530674340000000466e-01 -3.141592654000000095e+00 2.832992730100000145e+01
-8.824698469999999739e-01 -3.141592654000000095e+00 3.230353729600000179e+01
-8.118722590000000405e-01 -3.141592654000000095e+00 3.675112115200000318e+01
-7.412746709999999961e-01 -3.141592654000000095e+00 4.172031633900000003e+01
-6.706770829999999517e-01 -3.141592654000000095e+00 4.713070889899999827e+01
-6.000794959999999900e-01 -3.141592654000000095e+00 5.273912749499999819e+01
-5.294819079999999456e-01 -3.141592654000000095e+00 5.832685566199999982e+01
-4.588843200000000122e-01 -3.141592654000000095e+00 6.375459231899999679e+01
-3.882867320000000233e-01 -3.141592654000000095e+00 6.907107478700000058e+01
-3.176891450000000061e-01 -3.141592654000000095e+00 7.437618342700000085e+01
-2.470915569999999895e-01 -3.141592654000000095e+00 7.968188745700000197e+01
-1.764939690000000005e-01 -3.141592654000000095e+00 8.478680575799999986e+01
-1.058963819999999972e-01 -3.141592654000000095e+00 8.908828852899999617e+01
-3.529879400000000139e-02 -3.141592654000000095e+00 9.177655440600000247e+01
3.529879400000000139e-02 -3.141592654000000095e+00 9.216823871200000440e+01
1.058963819999999972e-01 -3.141592654000000095e+00 9.001538618899999733e+01
1.764939690000000005e-01 -3.141592654000000095e+00 8.570422878899999830e+01
2.470915569999999895e-01 -3.141592654000000095e+00 8.006748217400000556e+01
3.176891450000000061e-01 -3.141592654000000095e+00 7.399795632599999351e+01
3.882867320000000233e-01 -3.141592654000000095e+00 6.811903162299999792e+01
4.588843200000000122e-01 -3.141592654000000095e+00 6.260743467199999657e+01
5.294819079999999456e-01 -3.141592654000000095e+00 5.735734973400000314e+01
6.000794959999999900e-01 -3.141592654000000095e+00 5.228016852100000023e+01
6.706770829999999517e-01 -3.141592654000000095e+00 4.748308166999999713e+01
7.412746709999999961e-01 -3.141592654000000095e+00 4.320741871500000286e+01
8.118722590000000405e-01 -3.141592654000000095e+00 3.973669386000000259e+01
8.824698469999999739e-01 -3.141592654000000095e+00 3.718635237899999879e+01
9.530674340000000466e-01 -3.141592654000000095e+00 3.546741664099999980e+01
1.023665022000000091e+00 -3.141592654000000095e+00 3.446229090199999945e+01
1.094262609999999913e+00 -3.141592654000000095e+00 3.412680790099999939e+01
1.164860197000000097e+00 -3.141592654000000095e+00 3.447295630899999708e+01
1.235457784999999920e+00 -3.141592654000000095e+00 3.552895889199999857e+01
1.306055372999999964e+00 -3.141592654000000095e+00 3.725574755400000271e+01
1.376652961000000008e+00 -3.141592654000000095e+00 3.951758117199999987e+01
1.447250547999999970e+00 -3.141592654000000095e+00 4.215813503599999734e+01
1.517848136000000014e+00 -3.141592654000000095e+00 4.503990760599999987e+01
1.588445724000000059e+00 -3.141592654000000095e+00 4.804609408799999670e+01
1.659043311000000021e+00 -3.141592654000000095e+00 5.100514043599999781e+01
1.729640899000000065e+00 -3.141592654000000095e+00 5.381320150599999863e+01
1.800238487000000109e+00 -3.141592654000000095e+00 5.640670945400000136e+01
1.870836074999999932e+00 -3.141592654000000095e+00 5.875347761500000132e+01
1.941433661999999893e+00 -3.141592654000000095e+00 6.070443642699999742e+01
2.012031250000000160e+00 -3.141592654000000095e+00 6.215801085100000023e+01
2.082628838000000204e+00 -3.141592654000000095e+00 6.299715378399999821e+01
2.153226425000000166e+00 -3.141592654000000095e+00 6.319967611700000276e+01
2.223824013000000210e+00 -3.141592654000000095e+00 6.276809381399999666e+01
2.294421600999999811e+00 -3.141592654000000095e+00 6.168800406999999808e+01
2.365019188999999855e+00 -3.141592654000000095e+00 5.994669823800000330e+01
2.435616775999999817e+00 -3.141592654000000095e+00 5.751439504300000038e+01
2.506214363999999861e+00 -3.141592654000000095e+00 5.440338882399999676e+01
2.576811951999999906e+00 -3.141592654000000095e+00 5.073376131900000274e+01
